义演	benefit
僵化的事物	fossil
[建]竖杆	vertical
葱头	onion
英〉同specialty	speciality
防护套	lag
滑雪	ski
[影]演播室	studio
化学药品	chemical
旋转木马	roundabout
射中接近靶心部分的一发	inner
[光]物镜	objective
干草堆	stack
心理影响	psychology
大规模攻势	push
叛国（罪）	treason
男人	man
增味剂	dose
霸主	mistress
誓言	oath	pledge
最坏的事情	worst
毒气	gas
〈英〉担保	caution
[天]伴星(=~star)	companion
〈英口〉厕所	rear
新闻纸	newspaper
请安	courtesy
巡航	cruise
全套装备	outfit
理财	economy
检测器	detector
打翻	overthrow
喷射流	jet
迷信	superstition
必不可少的东西	essential
[化学]（染色的）助剂	assistant
钢轨	rail
赏钱	fee
连词	conjunction
道歉认错	apology
忠于…感情	loyalty
人口	population
皱眉	frown
地下组织或活动	underground
膝	knee	lap
膜	layer
负担	burden	load	tax
[数]似然	likelihood
凭冲动行事	impulse
胜利	triumph	victory
小雨	sprinkle
未完成的部分	fragment
交情	fellowship
冻结	freeze
头痛	headache
爱说话的人	pie
歪斜	glance	tilt
除去	removal
德芙（巧克力品牌）	dove
治愈	cure
撑夹桅杆的加固夹箍	fish
主妇	mistress
动物油脂	grease
轻敲	tap
特色	characteristic	difference	particular
逆转	turnover
神学家	divine	doctor
公诸于众的状况	publicity
（表示友谊的）干杯	pledge
活塞筒	barrel
高架道路	overpass
主管人员	chief	governor
紧要关头	clutch	crisis
[女子名]伊斯特尔来源于古英语春之女神Eostre	Easter
公寓楼	apartment
[法]（原告的）申诉	declaration
阑尾	appendix
广大无边的空间	vast
锈色	rust
[建筑]拐角	coin
一拳	dig
漂亮的人（或东西）	pretty
酋长	chief
商品交易会	fair
规格	specification	standard
滑水橇	ski
病毒性疾病	virus
百万富翁	millionaire
烟道	tunnel
一种乡村舞蹈	hay
娱乐节目	entertainment
保险费	premium	insurance
情夫	lover
改良	reform	improvement
优点	asset	merit	quality	strength
合成物	composite	synthetic
边	border	edge	side	verge
[化学]当量	equivalent
弯曲部分	hook	loop
楼房	building
口供	declaration
西北部	northwest
驻地	residence	station
（射击的）靶子	target
糖果	candy	sweet
旋转的行为	spin
味觉	taste
水晶透镜	pebble
（酿酒配料的）均衡	balance
基础建设	infrastructure
搀杂品	alloy
发音方法	pronunciation
低劣	poverty
忙乱	fuss
退休	retire
渴望	anxiety	rage	wish
六个	six
耶路撒冷古神殿	temple
衬垫	liner	pad
司炉工	fireman
特级品	super	imperial
抵押权	mortgage
强制（力）	logic
降落伞背带	harness
癌症	cancer
工钱	hire
滑稽连环漫画栏	funny
颂辞	tribute
管理人员	management
一刹那	twinkle
旗帜	banner	flag
猪的肩肉	picnic
拥挤的人群	crush	squeeze
挖苦	dig
突然发出的巨响	crash
定额	quota
滋生地	nursery	soil
人群	crowd	multitude	resort
虚构的或想像出的事	fiction
诅咒	ban	curse	oath
劳动	labor	thrift
眺望处	outlook	prospect
（作单位的）百	cent
草稿	draft	outline
精神病学	psychiatry
激烈的竞争	battle
（毒品或酒精的）效力	kick
（诗歌的）叠句	refrain
贸易	commerce	trade
缸	jar
青铜	bronze
投资额	investment
资助者	friend
膳食	board
小船	boat
年鉴	yearly
放任	loose	abandon
管辖	government
通勤来往的路程	commute
（证券的）场外市场	curb
跳跃	leap	skip	spring
〈英〉（比赛）得分纪录	chalk
阀	valve
[计算机]编码	code
阄	lot
羞怯的人	violet
偏见	bias	prejudice
似非而是的论点	paradox
（美国南北战争时与南方作战的）北部各州	north
队	team
艰难	hardship	rough
进步	progress	improvement
培训会	seminar
沟渠	canal	ditch
（身心机能的）失调	disorder
种族	people	race
湿透	soak
防止损失（尤指金钱）的手段	hedge
一眨眼间	wink
用或似用带尖武器刺的伤口	stab
公众信息	publicity
原子	atom
高温潮湿	humidity
狂笑	roar
游荡	wander
打击	blow	shock	stun
尊敬	consideration	esteem	honor	regard	worship
握力	grip
短程穿梭运行的飞机（或火车	shuttle
休息厅	lounge
定量	quantity
禽	bird
（连衣裙、外衣等的）下摆	skirt
通讯中用以代替字母n的词	November
正当	right
发明	invention
不义行为	wrong
扮演少年角色的演员	juvenile
表演	show	spectacle
休克	shock
对称美	symmetry
利害关系	interest
尖啸声	zip
[纺]尼龙	nylon
董事会	board
公司或企业	concern
（生来的）白痴	natural
集会	assembly
国际体育比赛	international
十几岁的青少年	teenager
密切结合	marriage
滴	drop
谷粒	grain
[机械学]导向器（或轴）	pilot
（名誉等的）损害	compromise
听众	audience
（外）祖母	grandmother
藏书	library
职位较低者	junior
铅字	type
详述	detail	rehearsal	specification
十点钟	ten
（牛马、骆驼的）尿	stale
合成纤维	synthetic
花招	maneuver
丰富	plenty	wealth	abundance
嫩叶	leaflet
院子	courtyard	yard	court
[占星]（左右人命运的）星相	planet
救球	save
初步措施	preliminary
工业	manufacture	industry
支付金额	cash
政治斗争	politics
遗憾	regret
结构（物）	construct
县民	county
[医]疡肿	boil
昨天	yesterday
居住时间	residence
兴奋	excitement
[D-][天文学]天龙（星座）	dragon
怒气	anger	temper
顶端	tip
登峰造极	it
含义是“羊栏”(sheepfold)	Easter
俚绝妙的人	it
层进法	climax
容易	ease	facility
（因失误而打出的）曲线球	slice
邮票	stamp
百个	century
纤维	fiber
三十的记号	thirty
输出[出口]物	export
松脆物	crisp
恭维	compliment
（命运等的）折磨	buffet
百万	million
温暖	warmth
（事情的）处置	disposal
担架	litter
时令	season
针状物	needle
〈俚〉无理的回答	lip
被保险人或物	risk
候选人提拔会	primary
[俚语]醉汉	soak
羊倌	shepherd
较量	battle
[宗]日课	lesson
追捕	chase
加班	overtime
抗议	protest
垃圾箱	bin
劣势	drawback
（为某目的或某段时间内的）花销	spend
饭馆	restaurant
丑闻	scandal
连锁店或旅馆系列的事物	chain
肾脏	kidney
存款	deposit	account
风景画	scenery
骄傲	pride	importance
管弦乐队	orchestra
（辩护）律师	advocate
开口	hatch
最高阶层	summit
〈美〉（火车的）司机	engineer
编法	weave
开端	dawn	offset	outset	preface
三年级生	junior
故事片	feature
（空气中的）湿度	humidity
典礼	ceremony	ritual	exercise
静悄悄的流水	glide
美假花	artificial
临时工	temporary
洋	ocean
单人纸牌游戏	patience
光景	spectacle
保险额	risk
（动物的）臭迹	scent
通行税	toll
肉用公牛	steer
失业	unemployment
斜坡	hill	slope	tilt	incline
立场观点善变的人	acrobat
停工	layoff
根据	base	score
草图	cartoon	sketch
鸡眼	corn
亚麻布	linen
his	all
轮廓线	outline
敲诈	blackmail	hijack	racket
滤波器	filter
中部	middle	midst
退隐	retire
捐赠	contribution	contribution	donate
土豆皮	jacket
公共汽车	bus
外围物	surround
省份	province
咳嗽病	cough
（时间	priority
司铎	priest
敌对行动	incident
金属元素	metal
蛋	egg
笛声	whistle
参与国	participant
水源	source
娱乐活动	fun
蛆	gentle
蛇	snake
睡眠	sleep
禁止	ban
昏倒	faint
被挑选的人[事物]	selection
商行	firm
团结一致	unity
动词被动形式	passive
帝位	purple	throne
抢夺	scramble
大船上的小艇	launch
番茄	tomato
文学名著	classic
〈数〉（相）约	cancel
绊倒	trip
处理	transaction
蹙额	frown
黄种人	yellow
放牧	browse	graze	pasture
事故	casualty	slip	accident
被（爱情等）迷住的人	captive
权力	arm	authority	might	muscle	power	sword
献祭	sacrifice
一篮	basket
[植]柔荑花序（如柳絮）	chat
隔开的小间	booth
驱动器	driver
理由	call	occasion	reason	sake	score	why	account
特殊病例分析	clinic
天（空）	sky
鼓掌	clap
烟囱状东西	chimney
（时间的）间隔	distance
法庭	forum	court
偶然	chance	accident	accidental
重现	recreation
（用于姓名前）爵士	sir
柔软之物	soft
流血	blood
攻势	offensive
囚犯	lag	prisoner
补救办法	compensation	help	remedy
坏人	bad
公司	company	corporation	firm
微贱的人	insect
[电]碳精棒[片	carbon
代表	delegate	deputy	representative
坏事	bad	evil
鉴定	appraisal	criticism	judgement	opinion	expertise
来源于古英语	Easter	Easter
[计算机]数据	data
教诲	instruction
思想	concept	thought
效率	efficiency
记录	entry	log	record	register
彻底的失败	bomb	disaster
草本植物	herb	dock
[航海]拖船	tug
有机体系	organism
面容	face
海水	water
操场	playground
疏忽	blunder	lapse
邮务员	mail
龙船	dragon
期刊	bulletin	journal	periodical
体重	weight
蘑菇	mushroom
捕食（习性）	prey
色彩鲜艳	glow
缺乏主见或轻易盲从的人	sheep
处罚	sanction
运用头脑（或身体）的能力	use
理想的东西	it
周围	circumference	enviroment	suburb	environment
大理石	marble
配合	fit
平局	draw	tie
终点站	terminal
说服	conviction
翻筋斗	tumble
探头	probe
缔造者	architect
烤面包	toast
运输公司	carrier
（男）警察	policeman
判定	opinion
一个月的时间	month
黏胶	gum
[逻]前提	hypothesis
驾驶室	cab
语短语	phrase
奇人	curiosity	myth	wonder
台巾	scarf
[体育运动]易手	turnover
口侥幸逃过	shave
令人兴奋的经历	upper
奇事	myth
合成体	complex
拼命的叫喊声	scream
原则	fundamental	principle
密码组合	combination
[语]长音节	long
皮带	strap
白种人	white
黑色	black
（相对于灵魂而言的）人体	clay
洗好的衣服	laundry
（椰子等植物的）白色汁液	milk
火炉	stove	furnace
北方发达国家（尤指欧洲和北美各国）	north
有轨电车轨道	tram
〈美〉律师	lip
（服装的）长尺寸	long
深谷	valley
无足轻重的人	nobody
对应的人	analogue
诗日出的地方	sunrise
类比	analogy	parallel
动态	dynamic
白面儿	heroin
和谐	concert	harmony	tune	accordance
溜冰鞋	skate
补充物	augment	complement	supplement
弟子	child	descendant
攀	mount
静脉	vein
吸气	sniff	inspiration
晴朗	sunshine
一把（的量）	handful
[俚语]美女	tomato
月亮	moon
放大器	amplifier
矿	mine	ore
令人不快（或讨厌）的人	pig
（戏剧或电影的）戏装	costume
午后小吃	tea
功劳	desert	exploit
数组	array
悲伤	grief
甜瓜	melon
不确定性	maybe
知	mind
参议员	senator
监测仪	monitor
信号旗	flag
矢	arrow
装配	assembly
矛	shaft	spear
酒店业主	host
消沉	damp
古典芭蕾舞大师	poet
深红色	cardinal	ruby	wine
大师傅	chef
牢笼	prison
（总称）牛	cattle
菜园	garden
大块	bulk
（墙壁的）初涂	render
爱好	appetite	bias	fancy	like	passion	interest
诊所	clinic	surgery
山肩	shoulder
忠心	loyalty
困境	bind	corner	dilemma	extreme	fix	jam	mess	plight	soup
死尸	stiff
干劲	drive	go
构成部分	constituent
著作	literature	work	writing
变化	change	shift	variation	variety
（板球）零分	duck
浅处	shallow
指甲	nail
战争期间	war
回嘴	retort
港口	port
中心人物	sun
请求	application	demand	desire	motion	petition	plea
版次	edition
烦恼（等于annoyance）	annoy
表达能力	language
代表团成员	delegate
雄鸡的啼声	crow
失去联系	silence
支托（或握持）…之物	holder
审查	inquiry
先令（英国1971年以前的货币单位	shilling
果断	decision
镶边	border
抱有希望的理由	hope
（因无知、粗心等造成）的错误	blunder
容器	bin	pocket	recipient	vessel	container
上锁的人	locker
实力	efficiency
津贴	benefit	subsidy	allowance
（公共）厕所	convenience
牧师职位	ministry
行话	jargon
追求的目标	ambition
姿势	gesture	pose	posture
（民选的）市长	mayor
爱好者	audience	lover
伪装品	disguise
批判	criticism
讹诈	racket
物理学家	physicist
成年的人或动物	adult
管道	canal
卵石花纹	pebble
[语音学]消失音	vanish
（袖子等上的）褶皱	tuck
山坡	climb
鞋楦（做鞋的模型）	last
依赖	reliance
水果等）外皮	skin
柱顶石	summer
大学生活	campus
皮	leather	skin
奉承话	butter
天理	nature
六弦琴	guitar
译文	version
派	pie
自豪	dignity
[军]待命士兵	casual
已婚妇女	wife
毁灭的原因	destruction
脚步	foot	step
（铁路）旅客车厢	coach
短文	brief
药用盐	salt
孩子	child	son
贬同性恋者	queer
废词	obsolete
心	heart	mind
应缴款（如俱乐部会费）	due
（人体摄入的动植物）脂肪	fat
（英国）模拟考试	mock
迹象	evidence	hint
秘书	secretary
（管风琴的）音栓	stop
废话	junk	nonsense	rubbish	trash
[自]代码字典	dictionary
[物]电平	level
猪	pig
赠品	gift
猫	cat
[自]（数据安排的）形式	format
周日	Sunday
右边	right
员工	personnel	worker
临近	forthcoming
恐慌	flap	panic	scare
[体]选拔赛	trial
（潜水员过快浮出水面造成的）减压病	bend
中学生	student
尸骨	bone
独居者	solitary
索赔	claim
船舱的顶板	overhead
使人讨厌的人[物]	bore
菜	menu
敬畏	awe
优雅	grace	polish
[数]交集	intersection
生活呆板的人	vegetable
艺术作品	art
[植]桔树	orange
[医]癣	tiny
破产者	bankrupt
语言	language	tongue
学分	credit
专家的意见	expertise
表面不平	rub
非正式宝石（尤指钻石）	rock
微动	stir
质点	particle
（英）王室	household
个人的事	affair
蚊子	mosquito
空想的产物	fantasy
间歇	break	interim
晚会	evening
壮观的场面	spectacular
年史	page
溢出（量）	spill
建筑物	building	construction	structure
半成品	raw
防护用品	preserve
一批	batch	parcel
（贝、卵、坚果等的）壳	shell
足以媲美的人	answer
谜	mystery
下摆	lap
包裹	pack	package	parcel
[史]方镞箭	quarrel
（主持会议的）主席	chairman
上个	last
乳房	bosom	breast
小冲突	brush
（非本土的）外来动植物	foreigner
农耕	agriculture
反目	quarrel
远处	beyond	distance
总结	summary
臭迹	trail
很可能的事	probable
会话	conversation	dialog
机器人	clone	robot
醉汉	drunk
盗贼	thief
飞翔	flight	wing
浮华	flash	vanity
控制	clutch	grasp	hold	regulation	restraint
裂缝	crack	flaw	leak	seam	slit	split	tear
（速度）比赛	race
不幸	disaster	misery	misfortune	distress
服从	obedience
退伍军人	veteran
外交上的）报导	advice
自称者	professor
一群显赫的（出色的）人物	galaxy
盛会	feast
情妇	lover	mistress
（与复数动词连用）人员	personnel
协助	hand
神秘	mystery
甘露酒	cordial
花粉	dust
昌盛	health	prosperity	speed
本地居民（律师、教士、医生）	local
性质	characteristic
（消除误会后）和解	explanation
自然规律	necessity
[方言]讲的话	tell
（大、中、小学的）管理人员	staff
[植]营养体生长	vegetation
方巾	handkerchief
章程	rule
申请表格	application
公民	citizen
宣读	reading
朝圣者	pilgrim
向导	guide	pilot
热带地方	tropic
记录员	recorder
（植物的）荚	capsule
私事	privacy	affair
持久	duration
法企业家	entrepreneur
时态	tense
厄运	doom	misfortune	weird
天鹅	swan
储藏处	storage
教授	professor
席子	mat
关口	pass
（对规则、危险等的）藐视	contempt
静电	electricity	static
不符合（之处）	discrepancy
公墓	cemetery
培育	nurture
毒药	poison
（套叠在一起的）一套物件	nest
（森林、猎场等的）看守小屋	lodge
免责特权	privilege
小卡车	pickup
步幅	pace	stride
破布	rag
惊愕	startle	dismay
绰号	nickname	surname
丝线	twist
二十	twenty
航道	lane
议事日程	agenda
长裤	long
习性	habit
（有特殊用途或专属某人的）豪华寓所	apartment
（骑兵队等的）急袭	raid
尼龙织品	nylon
全体教职员	faculty
炽热	glow
辅助设备	assistance	auxiliary	aid
〈比喻〉可以逐渐扩大作用的开端	wedge
故障	breakdown	trouble
童子军小队	patrol
分隔	division
〈比喻〉神秘的变化（过程）	chemistry
伙伴	partner	party	peer
测量仪器	gauge
小号	trumpet
使节	ambassador
清楚	clarity
禁猎地	preserve
维护	behalf	maintenance
重要材料	substantial
工作作风官僚	camel
洞	hole	hollow
口名人	institution
当中	midst
（下棋的）一着	tempo
联合会	federation
不理	disregard
中心点	centre
厘米	centimetre
乘轮船旅行	steam
青草	grass
藓沼	moss
公正	justice
有影响的人（或事物）	influence
吹嘘	puff
[天]巨蟹座	cancer
来回	return
汽水	mineral	pop	soda
贫困	want	distress
（鸟的）绒羽	down
圆鼓鼓像瓜似的东西	melon
断头机	maiden
神职	ministry
[乐]全阶第五音	dominant
突然的悲痛	wrench
交界面	interface
乐器	instrument
相识的人	acquaintance
生活方式	living	manner
幻想	fantasy
放映期	run
叫牌	bid	declaration
卡片	card
（河的）岸	bank
（原子）核	nucleus
（打字机等的）键	key
干线	artery	highway
革新者	revolutionary
绘画	drawing	painting
餐巾	napkin
清查	inventory
实践	practice
驾船人	sailor
书目	bibliography
疼爱	love
投射物	missile
[地]冰碛土（物）	till
婴儿	baby	infant
老兄	mate
物惯性	inertia
放映机	projector
点心	refreshment	snack
欺骗	deceit	sell
[医]愈合	intention
入场权	entrance
猎物（指鸟兽等）	chase
狭窄的水道	narrow
使人欢快的事物（或活动）	feast
界限	bound	confine	horizon	limit	verge	compass
专业用语	dialect
终端	terminal
牛排	steak
尿布	napkin
极长的一段时间	forever
零位	zero
湾	bay
爱情	love
比赛	battle	combat	competition	contest	game	match	play
泳装	costume
[数	particle
（中小学生对男教师的称呼）先生	sir
先驱者	pioneer
完成	finish
帆布	canvas
[机]油盒	cellar
投票用纸	ballot
湖	lake
[军]刀枪操练	manual
香蕉	banana
王室法律顾问	silk
疯狂	rage
演讲者	speaker
性交	commerce
收益	profit	revenue	win
公用通道	highway
垃圾场	dump
海峡	channel	narrow	neck
荒野	wild
看电影	cinema
线	thread
特殊荣幸	privilege
[心理学]情境	situation
纸	paper	sheet
大师	great	master	pope
（人的）语言知识及运用能力	grammar
革命者	revolutionary
（食物、药物等的）一批生产的量	batch
可靠的人	reliable
镇定	calm
使他们的船只或触礁或驶入危险水域）	siren
套管	sleeve
〈美俚〉力量悬殊得可笑的体育比赛	laughter
跨度	span
古祖先	predecessor
束缚	bond	tie
碳精电极	carbon
炸裂	explosion
萦绕	obsession
荒谬的念头	nonsense
用具	tackle
老弟〔工人	mate
手指	digital	finger
本质	being	color	entity	essence	kind	root	substantial	texture	internal
自愿地做的工作	voluntary
回忆	memory
声响	noise	sound
半边屁股	cheek
音调	sound
海绵状物	sponge
千位数	thousand
温度计	thermometer
涉及	reference
奖牌	medal
隐情	catch
购物	shop
骇人听闻的事件	outrage
重击	sock
引导	guidance
不活动	inertia
鱼	fish
印痕	print
杂乱一团	huddle
撒布	scatter
防水材料	waterproof
规范	criterion	norm
一下工夫	snatch
一瞬间	flash
特征	character	characteristic	feature	stamp	temper
饮料	beverage	drink
块状物	cake
占领	capture	occupation
[哲]批判主义	criticism
（劳资）纠纷	dispute
像圆屋顶一样的东西	dome
盗窃之物	theft
见识	judgement	scope
至交	intimate
喜好	like
短麻屑	tow
投篮得分	basket
〈美俚〉跳舞	crawl
轻舟	canoe
食古不化的人	fossil
单数形式（的词）	singular
瘀伤	bruise
画像	picture
新学生	recruit
深紫色	grape
自治权	autonomy
扬言	boast
变迁	shift	transition
食物混合配料	mix
统一体	unity
旋转式机器	rotary
生产	production
（政府的）部	ministry
（化验的）取样	sample
前提	premise
肺病	consumption
单位	unit
巨流	river
讽刺画	cartoon
有用的东西	asset
（船或屋顶等的）肋拱	rib
〈口〉金粉	dust
经文	prayer
绘画作品	paint
粪尿	soil
附属机构	auxiliary
合身	fit
俚可卡因	coke
地理（学）	geography
（集合词）全家人	household
上级	senior	superior
红宝石色	ruby
委员长	chairman
男神	god
大群	tribe
[数]优先次序	priority
报纸	newspaper
农夫	peasant
污迹	blur
瓶子	bottle
合唱	chorus
扣环	clasp
集装箱	container
影响力	pull
常用于英式英语	cabbage	costume
行动者	actor
鉴定书	survey
生物体	organism
礼堂	auditorium
个人财产	estate
刘海	fringe
熟人	acquaintance
浪费	waste
[军]义勇军	volunteer
备用轮胎	spare
花样	pattern	flourish
继承权	succession
[数]数列	sequence
更新的信息	update
预修	preparation
（收音机等的）旋钮	knob
深渊	deep	profound
堂[表]兄弟姊妹	cousin
必要	call
审稿人	reader
（社会思想等的）趋势	climate
南腔北调的混合语	jargon
可耻的人	shame
即溶饮料	instant
酒馆侍者	drawer
[医]药方	prescription
[宗]天启	revelation
淘气鬼	devil	monkey	silly
三十个	thirty
加速[助推]器	boost
周围的事物(surrounding的名词复数)	surroundings
[复数]总收入	revenue
格斗	combat
[史]行政长官	prior
（经过试验、检验或体验发表的）决定	verdict
退步	setback
掷硬币决定	toss
长外衣	gown
有…底的-soled	sole
[古]空出	vacation
研细的程度	grind
明晰	clarity
[计]（电脑的）总线	bus
踵状物	heel
天才人物	genius
数指数	index
烫发	permanent
谋略	maneuver
履行	performance
拘留	arrest
表决	vote
建筑师	architect
约束力	restraint	sanction
肉汁	juice
（力量、健康、品格、权力、价值等的）衰退	decline
真实的写照	mirror
说话者	speaker
螺纹	thread
扁平槽	flatter
记忆	memory	mind
[医]导管	bypass
美北美洲大陆	continent
二十个	twenty
口真空吸尘器	vacuum
其间	meantime	meanwhile
节拍	beat
[医]（疾病的第…）期	stadium
旧报纸	newspaper
教员	professor	teacher
[生]培养基	medium
方向	aspect	direction	orientation	way
总计	tale	total
小声低语	mutter
夜盗	burglar
持有者	holder
性别	gender	sex
调式	mode
两侧相对的物体	cheek
[常作复数]（人生事件中的）时运	fortune
（指已提到过或已知的人或事物）那	those
被子	quilt
峭壁	cliff	scar
长期论战或长期作战	battle
政权	power	regime
[戏]道具	property
女用小提包	purse
昏乱	whirl
掣肘的事情	odds
圣经	bible
电影	film	movie
转换器	switch
韵文	metric	poem	song	verse
女房东	landlady
菠萝	pine
阴间	hell
撤销	cancel
输入电路	input
鼓励	sanction	incentive
第一位	primary
额外的事物	extra
极寒时候	dead
运动场	field	stadium
波道	channel
音延	duration
理发店(=barber'sshop)	barber
貌	spear
森罗万象	universe
飓风般猛烈的东西	hurricane
小麦	wheat
替罪羊	goat
历程	journey
不足	deficiency	failure	lack	minus	poverty	shortage
优美	polish
内务	interior
谈吐	address
素材	material
绿色蔬菜	green
方案	formula	project
不忠	treason
杯、盘、碟等的总称	china
董事	director
投标	bid	tender
患者	patient
翻滚	turnover
美俚（铁路货车的最后一节）守车	zoo
浅盘	tray
短途旅行	outing	excursion
青铜艺术品	bronze
器材	equipment	fitting
一圈跑道	lap
电钮	button
（塑料或金属的）夹子	clip
受宠的人	pet
人物简介	profile
技能	quality	skill	technique
传统	heritage	tradition
石油层	pool
[化]锌	zinc
耶稣	king
和平	peace
蟋蟀	cricket
乘客	fare	fare	passenger
古代理店	factory
抖动	quiver
[电]电池	battery
瞒报所得的收入	skim
熔炉	furnace
挑剔的人	critic
机智	salt	wit
有礼貌的举止[言词]	courtesy
把戏	trick
给予援助或安慰的人或事	comfort
[戏]旁白	aside
野外	open
研究员职位	fellowship
[动]颌毛	beard
二十年代	twenty
（光、声、色等的）力度	strength
气球	balloon
为祭祀杀死的动物（或人）	victim
渡口	ferry
路线	path	track
旅行者	pilgrim	tourist
（一篇报道的）补充部分	add
中间物	medium	intermediate
突如其来的强劲气流	blast
治理	government
恶意	spite
盛零碎物品的容器	tidy
工装	blouse
[乐]滑音	glide
无怨接受（逆境、困境等）	acceptance
测验	exam	test
维生素	vitamin
假定	perhaps	assumption
[法]（权利等的）失效	lapse
（提供某方面信息的）办事处	bureau
骨瘦如柴的人（或动物）	skeleton
〈英〉管赛马房的马夫	lad
佃农	peasant
变动	variation
标签	label	tag	ticket
盖印	impression
[植物学]裂	gap
分析室	lab
亲爱的	sugar
刽子手	butcher
入场	entry
阵雨	shower
霉	mould
户外烧烤野餐	roast
鞋帮	upper
篮球	basketball
期间	duration
吊厢	car
逐出教门	curse
导游	guide
从科学实验中提取的价值	data
单身汉	bachelor
阴虱	crab
外壳	crust	envelope	shell
知识（表示多方面的知识时有复数knowledges这一用法）	knowledge
十三岁到十九岁的少年	teenager
勋绩	exploit
过低评价	underestimate
英（都市住宅的）地下煤窖	cellar
〈美〉刚进社交界的姑娘	bud
背后	rear
燃烧的颗粒	spark
追赶	pursuit
香味	perfume	scent
详细情节	particular
审问	hearing
好斗分子	militant
契机	momentum
豌豆	pea
流言蜚语	gossip	report	scandal
口（数量、价格等）增加	hike
前例	precedent
文体	language	style
纯洁的人	dove
演习	rehearsal
陈列	display	exhibit	exhibition
总教堂	cathedral
连锁	chain
满盘	tray
（用作装饰的）小树枝	spray
猫科动物	cat
避免浪费	conservation
恶棍	tough
阻挡	tackle
不敬	violence
果汁	juice
唱机唱头	pickup
使用	employment	usage
舞台面	scenery
做法	manner
碰见	encounter
（学问等的）范围	region
补贴	subsidy	allowance
和谐的东西	symphony
延迟	delay
安逸	ease	leisure
男子汉	man
部署或者秩序	stagger
号码	number
神秘的事物	mystery
战斗	combat	conflict	fight
〈非正式〉好处	carrot
理性	reason	sense
鲸等）	cow
俚脑袋	cabbage
[英史]堡寨	peel
周期	circle	cycle
故乡	country
国土	country	soil
知己	confident
借	borrow
恐惧	dread	scare
黑暗	dark	black
矿物	mineral
应得到的东西	due
[计]存储器	memory
[英史]什一税	borrow
英国政治工党	lab
敌手	opponent
幕间休息	interval
渔夫	fisherman
〈古〉好笑的事	laughter
烤箱	oven
地表突然而猛烈的变动	catastrophe
航空公司	airline
半神的勇士	hero
绳结	knot
[常用复数]全国性比赛	national
相称	proportion
冷落	slight
小睡	nap
[动	whirl
柜橱	cabinet	cupboard
巨大的成就	triumph
[印]现代字体	modern
纬度	latitude
象棋中的车	castle
[化]朊	protein
[计算机]程序	routine
酬金	hire	reward
（室内）便鞋	slipper
（体系的）结构	framework
供野餐吃的食品	picnic
很少的钱	peanut
椭圆形	oval
鸡肉	chicken
片断插曲	sequence
[解]瞳孔	pupil
吵架	fight	scrap
国货	domestic
一号	first
液体	fluid	liquid	wet
专利权	patent
补集（数）	complement
庄重	gravity
体育比赛	meet
运用	application	exercise
小圆点	dot
优势	edge
节目主持人	host
极相似的人或物	counterpart
模特儿	model
陷阱	hook	net
未确定	doubt
荒地	desert	waste
概论	panorama
狡诈	craft
无稽之谈	fable
瘦腿紧身裤	jeans
失望	damp	sell
朴实无华的东西	plain
拐角	corner
鸟群	flock
体温表	thermometer
上述	above
尝试	effort	essay	stab	tentative	try	experiment
嫁妆	portion
环境	condition	context	enviroment	setting	surroundings	environment
沼泽（地）	swamp
关闭	shut
协调	harmony
焦煤	coke
林场	timber
光束	ray
薪俸	salary
风趣的人	bundle
轻拍某物发出的声音	pat
突然的撕咬	snap
海水等的）层	region
保卫	safeguard	ward
一千美元	grand
奇特性	curiosity
高尔夫球运动	golf
神甫	priest
同盟国	ally
空缺的职位	opening
蕴含	implication
背后操纵的势力	wire
生存	survival	existence
反应	answer	reply	response
海洛因	heroin
（指甲下的）活肉	quick
蟹	crab
倒塌	breakdown
支撑	support
数量	amount	quantity
呼吁	appeal
（电视或广播节目的）女主持人	hostess
[计]检索	retrieve
呼吸	breath	wind
燃烧物	fire
出席率	attendance
耐药性	tolerance
霍克	hawk
（人生的）旅程	orbit
防护	security
地质学	geology
阻止	arrest
有文化	literacy
交往	commerce	conversation	intercourse
回答	answer	reply	response
意见	belief	comment	esteem	judgement	mind	notion	opinion	sentiment	suggestion	verdict	viewpoint
农业	agriculture
饮用后能使人精力充沛地从事竞选活动）	fuel
地震	earthquake
母鸡	hen
木工刨	plane
奖学金	scholarship
童年	childhood
铺过的路面	pavement
<口>傻子	stupid
需要的东西	need	want
私利	self
组织秘书	whip
企（事）业单位	enterprise
黄金时代	summer
软管	hose
相册	album
空中走廊	lane
小偷	sneak	thief
乳	milk
轮廓画法	outline
担保物	borrow
旋涡	spiral
境况	plight
长途电话费	toll
磨刀皮带	strap
鸟叫声	song
轻便帆布鞋（英式英语）	pump
司机	driver	operator
军官	officer
律契约	deed
人生	life
侦探	detective
镇长	mayor
异议	difficulty	objection
（人员、资金或地方的）富余的部份	slack
年代	date	era
升起	hoist
公事包	briefcase
馅饼	pie
剪下的东西	shear
蜡烛	candle
游戏	game	play	sport
法学家	lawyer
（学会等的）会议记录	transaction
正片	positive
自杀行为	suicide
财产目录的编制	inventory
长老	elder
长者	better
十八的记号	eighteen
尊严	dignity
图书管理员	librarian
物质	matter	substance
其时	meantime	meanwhile
状态	condition	feather	lie	position	shape	status
综合推理	synthesis
确定性	certainty
拂晓	dawn
登记	catalog	entry	register
见证人	witness
心脏	heart
母音	vowel
耐心	patience
司令部	command	headquarters
大使的职务（地位）	embassy
政治分肥	pork
真理	truth	true
转折点	crisis	hinge
焦虑	anxiety	sweat
